index;Country Code;Short Name;Table Name;Long Name;2-alpha code;Currency Unit;Special Notes;Region;Income Group;WB-2 code;National accounts base year;National accounts reference year;SNA price valuation;Lending category;Other groups;System of National Accounts;Alternative conversion factor;PPP survey year;Balance of Payments Manual in use;External debt Reporting status;System of trade;Government Accounting concept;IMF data dissemination standard;Latest population census;Latest household survey;Source of most recent Income and expenditure data;Vital registration complete;Latest agricultural census;Latest industrial data;Latest trade data;Latest water withdrawal data
55;ECU;Ecuador;Ecuador;Republic of Ecuador;EC;U.S. dollar;"National accounts have been revised from 1965 onward based on official government data; the new base year is 2007. The large upward changes are due to an improved calculation method for nominal GDP.";Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";EC;2007;;Value added at basic prices (VAB);IBRD;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;Special Data Dissemination Standard (SDDS);2010;Reproductive Health Survey (RHS), 2004;Integrated household survey (IHS), 2013;;2013/15;2008;2013;2005
56;EGY;Egypt;Egypt, Arab Rep.;Arab Republic of Egypt;EG;Egyptian pound;"Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2001/02.";Middle East & North Africa;"Lower middle income; based on FY13 income classifications.";EG;2001/02;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2006;Demographic and Health Survey (DHS), 2014;Expenditure survey/budget survey (ES/BS), 2011;Yes;2009/2010;2010;2013;2000
57;SLV;El Salvador;El Salvador;Republic of El Salvador;SV;U.S. dollar;;Latin America & Caribbean;"Lower middle income; based on FY13 income classifications.";SV;1990;;Value added at basic prices (VAB);IBRD;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2007;Multiple Indicator Cluster Survey (MICS), 2014;Integrated household survey (IHS), 2012;Yes;2007/2008;;2013;2005
58;GNQ;Equatorial Guinea;Equatorial Guinea;Republic of Equatorial Guinea;GQ;CFA franc;"National accounts have been revised from 1980 onward based on IMF data and official government statistics; the new base year is 2006.";Sub-Saharan Africa;"High income: nonOECD; based on FY13 income classifications.";GQ;2006;;Value added at basic prices (VAB);IBRD;;Country uses the 1968 System of National Accounts methodology.;1965–84;2011;;;General trade system;Budgetary central government;;2002;Demographic and Health Survey (DHS), 2011;Priority survey (PS), 2006;;;;;2000
59;ERI;Eritrea;Eritrea;State of Eritrea;ER;Eritrean nakfa;"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";ER;2000;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;;IMF Balance of Payments Manual, 6th edition.;Estimate;;;;1984;Demographic and Health Survey (DHS), 2002;Priority survey (PS), 1993;;;2011;2003;2004
60;EST;Estonia;Estonia;Republic of Estonia;EE;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";EE;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;1987–95;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2012;World Health Survey (WHS), 2003;Integrated household survey (IHS), 2011;Yes;2010;2011;2013;2007
61;ETH;Ethiopia;Ethiopia;Federal Democratic Republic of Ethiopia;ET;Ethiopian birr;"Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2010/11.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";ET;2010/11;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2007;HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014;Expenditure survey/budget survey (ES/BS), 2010/11;;;2009;2013;2002
62;EMU;Euro area;Euro area;Euro area;XC;;Euro area aggregate.;;;XC;;;;;;;;;;;;;;;;;;;;;
63;ECA;Europe & Central Asia (developing only);Europe & Central Asia;Europe & Central Asia (developing only);7E;;Europe and Central Asia regional aggregate (does not include high-income economies).;;;7E;;;;;;;;;;;;;;;;;;;;;
64;FRO;Faeroe Islands;Faeroe Islands;Faeroe Islands;FO;Danish krone;;Europe & Central Asia;"High income: nonOECD; based on FY13 income classifications.";FO;;;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;;IMF Balance of Payments Manual, 6th edition.;;General trade system;;;2011;;;Yes;;;2009;
65;FJI;Fiji;Fiji;Republic of Fiji;FJ;Fijian dollar;"Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005.";East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";FJ;2005;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2007;;Expenditure survey/budget survey (ES/BS), 2008/09;Yes;2009;2010;2013;2000
66;FIN;Finland;Finland;Republic of Finland;FI;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";FI;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;;Integrated household survey (IHS), 2010;Yes;2010;2010;2013;2005
67;FRA;France;France;French Republic;FR;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";FR;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2006. Rolling census based on continuous sample survey.;;Expenditure survey/budget survey (ES/BS), 2005;Yes;2010;2010;2013;2007
68;PYF;French Polynesia;French Polynesia;French Polynesia;PF;CFP franc;;East Asia & Pacific;"High income: nonOECD; based on FY13 income classifications.";PF;1990;;;;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;;;Special trade system;;;2007;;;Yes;;;2013;
69;GAB;Gabon;Gabon;Gabonese Republic;GA;CFA franc;"Based on IMF data and official government statistics; the new base year is 2001.";Sub-Saharan Africa;"Upper middle income; based on FY13 income classifications.";GA;2001;;Value added at producer prices (VAP);IBRD;;Country uses the 1993 System of National Accounts methodology.;1993;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;;General Data Dissemination System (GDDS);2013;Demographic and Health Survey (DHS), 2012;Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005;;;;2009;2005
70;GEO;Georgia;Georgia;Georgia;GE;Georgian lari;;Europe & Central Asia;"Lower middle income; based on FY13 income classifications.";GE;Original chained constant price data are rescaled.;1996;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1990–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2002;"Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005";Integrated household survey (IHS), 2012;Yes;;2011;2013;2008
71;DEU;Germany;Germany;Federal Republic of Germany;DE;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";DE;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Integrated household survey (IHS), 2010;Yes;2010;2010;2013;2007
72;GHA;Ghana;Ghana;Republic of Ghana;GH;New Ghanaian cedi;In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.;Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";GH;2006;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;1973–87;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Demographic and Health Survey (DHS), 2014;Living Standards Measurement Study Survey (LSMS), 2012;;2013/ 2014;2003;2013;2000
73;GRC;Greece;Greece;Hellenic Republic;GR;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";GR;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Integrated household survey (IHS), 2010;Yes;2009;2007;2013;2007
74;GRD;Grenada;Grenada;Grenada;GD;East Caribbean dollar;"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.";Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";GD;2006;;Value added at basic prices (VAB);Blend;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;Reproductive Health Survey (RHS), 1985;;Yes;2012;;2009;2005
75;GTM;Guatemala;Guatemala;Republic of Guatemala;GT;Guatemalan quetzal;;Latin America & Caribbean;"Lower middle income; based on FY13 income classifications.";GT;2001;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2002;Reproductive Health Survey (RHS), 2008/09;Living Standards Measurement Study Survey (LSMS), 2011;Yes;2013;;2013;2006
76;GIN;Guinea;Guinea;Republic of Guinea;GN;Guinean franc;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";GN;2003;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Estimate;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2014;Demographic and Health Survey (DHS), 2012;Core Welfare Indicator Questionnaire Survey (CWIQ), 2012;;;;2008;2001
77;GNB;Guinea-Bissau;Guinea-Bissau;Republic of Guinea-Bissau;GW;CFA franc;In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";GW;2005;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Estimate;General trade system;;General Data Dissemination System (GDDS);2009;Multiple Indicator Cluster Survey (MICS), 2014;Core Welfare Indicator Questionnaire Survey (CWIQ), 2010;;;;2005;2000
78;GUY;Guyana;Guyana;Co-operative Republic of Guyana;GY;Guyana dollar;In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.;Latin America & Caribbean;"Lower middle income; based on FY13 income classifications.";GY;2006;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;;General Data Dissemination System (GDDS);2012;Multiple Indicator Cluster Survey (MICS), 2014;Integrated household survey (IHS), 1998;;;;2013;2010
79;HTI;Haiti;Haiti;Republic of Haiti;HT;Haitian gourde;"Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.";Latin America & Caribbean;"Low income; based on FY13 income classifications.";HT;1986/87;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;1991;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;;General Data Dissemination System (GDDS);2003;HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013;Integrated household survey (IHS), 2012;;2008/ 2009;;1997;2000
80;HIC;High income;High income;High income;XD;;High income group aggregate. High-income economies are those in which 2014 GNI per capita was $12,736 or more.;;;XD;;;;;;;;;;;;;;;;;;;;;
81;HND;Honduras;Honduras;Republic of Honduras;HN;Honduran lempira;;Latin America & Caribbean;"Lower middle income; based on FY13 income classifications.";HN;2000;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;1988–89;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2013;Demographic and Health Survey (DHS), 2011/12;Integrated household survey (IHS), 2013;;2013;;2012;2003
82;HKG;Hong Kong SAR, China;Hong Kong SAR, China;Hong Kong Special Administrative Region of the People's Republic of China;HK;Hong Kong dollar;"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.";East Asia & Pacific;"High income: nonOECD; based on FY13 income classifications.";HK;Original chained constant price data are rescaled.;2013;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;;Yes;;2011;2012;
83;HUN;Hungary;Hungary;Hungary;HU;Hungarian forint;April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";HU;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;World Health Survey (WHS), 2003;Integrated household survey (IHS), 2012;Yes;2010;2010;2013;2007
84;ISL;Iceland;Iceland;Republic of Iceland;IS;Iceland krona;;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";IS;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Integrated household survey (IHS), 2010;Yes;2010;2005;2013;2005
85;IND;India;India;Republic of India;IN;Indian rupee;"Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.";South Asia;"Lower middle income; based on FY13 income classifications.";IN;2011/12;;Value added at basic prices (VAB);IBRD;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;Demographic and Health Survey (DHS), 2005/06;Integrated household survey (IHS), 2011/12;;2011;2010;2013;2010
86;IDN;Indonesia;Indonesia;Republic of Indonesia;ID;Indonesian rupiah;"Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.";East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";ID;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;Special Data Dissemination Standard (SDDS);2010;Demographic and Health Survey (DHS), 2012;Integrated household survey (IHS), 2013;;2013;2011;2013;2000
87;IRN;Iran;Iran, Islamic Rep.;Islamic Republic of Iran;IR;Iranian rial;"Fiscal year end: March 20; reporting period for national accounts data: FY.";Middle East & North Africa;"Upper middle income; based on FY13 income classifications.";IR;1997/98;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1980–2002;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2011;Iran's Multiple Indicator Demographic and Health Survey (IrMIDHS), 2010;Expenditure survey/budget survey (ES/BS), 2005;Yes;2013;2010;2011;2004
88;IRQ;Iraq;Iraq;Republic of Iraq;IQ;Iraqi dinar;"National accounts have been revised from 2000 onward based on official government data; the new base year is 1988. The new series raises GDP significantly from previous estimates.";Middle East & North Africa;"Lower middle income; based on FY13 income classifications.";IQ;1988;;Value added at producer prices (VAP);IBRD;;Country uses the 1968 System of National Accounts methodology.;1997, 2004;2011;IMF Balance of Payments Manual, 6th edition.;;;;General Data Dissemination System (GDDS);1997;Multiple Indicator Cluster Survey (MICS), 2011;Integrated household survey (IHS), 2012;;2011/2012;2011;;2000
89;IRL;Ireland;Ireland;Ireland;IE;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";IE;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Integrated household survey (IHS), 2010;Yes;2010;2010;2013;1979
90;IMY;Isle of Man;Isle of Man;Isle of Man;IM;Pound sterling;;Europe & Central Asia;"High income: nonOECD; based on FY13 income classifications.";IM;2003;;;;;Country uses the 1968 System of National Accounts methodology.;;;;;;;;2011;;;Yes;;;;
91;ISR;Israel;Israel;State of Israel;IL;Israeli new shekel;"Based on official government statistics for chain linked series; the new reference year is 2010.";Middle East & North Africa;"High income: OECD; based on FY13 income classifications.";IL;Original chained constant price data are rescaled.;2010;Value added at producer prices (VAP);;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2009;;Expenditure survey/budget survey (ES/BS), 2010;Yes;;2010;2013;2004
92;ITA;Italy;Italy;Italian Republic;IT;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";IT;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2012;;Income survey (IS), 2010;Yes;2010;2010;2013;2000
93;JAM;Jamaica;Jamaica;Jamaica;JM;Jamaican dollar;"April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007.";Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";JM;2007;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2011;Multiple Indicator Cluster Survey (MICS), 2011;Living Standards Measurement Study Survey (LSMS), 2010;;2007;;2013;1993
94;JPN;Japan;Japan;Japan;JP;Japanese yen;"Fiscal year end: March 31; reporting period for national accounts data: CY.";East Asia & Pacific;"High income: OECD; based on FY13 income classifications.";JP;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;;Integrated household survey (IHS), 2008;Yes;2010;2010;2013;2001
95;JOR;Jordan;Jordan;Hashemite Kingdom of Jordan;JO;Jordanian dinar;;Middle East & North Africa;"Upper middle income; based on FY13 income classifications.";JO;1994;;Value added at basic prices (VAB);IBRD;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;;Special Data Dissemination Standard (SDDS);2004;Demographic and Health Survey (DHS), 2012;Expenditure survey/budget survey (ES/BS), 2010;;2007;2011;2013;2005
96;KAZ;Kazakhstan;Kazakhstan;Republic of Kazakhstan;KZ;Kazakh tenge;The new reference year for chain linked series is 2005.;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";KZ;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1987–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2009;Multiple Indicator Cluster Survey (MICS), 2010/11;Expenditure survey/budget survey (ES/BS), 2013;Yes;;;2013;2010
97;KEN;Kenya;Kenya;Republic of Kenya;KE;Kenyan shilling;"Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2009.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";KE;2009;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2009;Demographic and Health Survey (DHS), 2014;Integrated household survey (IHS), 2005/06;;2009. Population and Housing Census.;2011;2010;2003
98;KIR;Kiribati;Kiribati;Republic of Kiribati;KI;Australian dollar;Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.;East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";KI;2006;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;IMF Balance of Payments Manual, 6th edition.;;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Kiribati Demographic and Health Survey (KDHS), 2009;;;;;2012;
99;KOR;Korea;Korea, Rep.;Republic of Korea;KR;Korean won;The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.;East Asia & Pacific;"High income: OECD; based on FY13 income classifications.";KR;2010;;Value added at basic prices (VAB);IBRD;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;;Expenditure survey/budget survey (ES/BS), 1998;Yes;2010;2009;2013;2002
100;KSV;Kosovo;Kosovo;Republic of Kosovo;;Euro;Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).;Europe & Central Asia;"Lower middle income; based on FY13 income classifications.";XK;2008;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;;;Actual;;;General Data Dissemination System (GDDS);2011;Multiple Indicator Cluster Survey (MICS), 2013/14;Integrated household survey (IHS), 2011;;;;;
101;KWT;Kuwait;Kuwait;State of Kuwait;KW;Kuwaiti dinar;"Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2010.";Middle East & North Africa;"High income: nonOECD; based on FY13 income classifications.";KW;2010;;Value added at basic prices (VAB);;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;Family Health Survey (FHS), 1996;;Yes;;2011;2013;2002
102;KGZ;Kyrgyz Republic;Kyrgyz Republic;Kyrgyz Republic;KG;Kyrgyz som;;Europe & Central Asia;"Lower middle income; based on FY13 income classifications.";KG;Original chained constant price data are rescaled.;1995;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;1990–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;Special Data Dissemination Standard (SDDS);2009;Multiple Indicator Cluster Survey (MICS), 2014;Expenditure survey/budget survey (ES/BS), 2013;Yes;2014;2010;2013;2006
103;LAO;Lao PDR;Lao PDR;Lao People's Democratic Republic;LA;Lao kip;;East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";LA;2002;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;;2005;Multiple Indicator Cluster Survey (MICS), 2011/12;Expenditure survey/budget survey (ES/BS), 2012;;2010/11;;;2005
104;LAC;Latin America & Caribbean (developing only);Latin America & Caribbean;Latin America & Caribbean (developing only);XJ;;Latin America and Caribbean regional aggregate (does not include high-income economies).;;;XJ;;;;;;;;;;;;;;;;;;;;;
105;LVA;Latvia;Latvia;Republic of Latvia;LV;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";LV;2000;;Value added at basic prices (VAB);;Euro area;Country uses the 1993 System of National Accounts methodology.;1987–95;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;World Health Survey (WHS), 2003;Integrated household survey (IHS), 2012;Yes;2010;2011;2013;2002
106;LBN;Lebanon;Lebanon;Lebanese Republic;LB;Lebanese pound;;Middle East & North Africa;"Upper middle income; based on FY13 income classifications.";LB;1997;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);1970;Family Health Survey (FHS), 2004;;Yes;2011;2007;2013;2005
107;LSO;Lesotho;Lesotho;Kingdom of Lesotho;LS;Lesotho loti;"Fiscal year end: March 31; reporting period for national accounts data: CY.";Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";LS;2004;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2006;Demographic and Health Survey (DHS), 2014;Expenditure survey/budget survey (ES/BS), 2010;;2010;;2009;2000
